PERSONNM,VENDOR_NAME
AARON WOOLF,MOUNTAIN LAKE PUBLIC TELECOMMUNCATIONS
MITCHELL A SEIDER,ORPHEUS CHAMBER ORCHESTRA INC
JOHN WILLIAMS,OTTAWA UNIVERSITY
EDWARD MADY,THE JOE TORRE SAFE AT HOME FOUNDATION
NAOKO TOSA,OPEN EDUCATION CONSORTIUM INC
JULIA VERDON PART-YEAR,COLLEGE STORE
ROBERT BAKER,HILLSIDE CHILDRENS FOUNDATION
BOGDANOFF BAKER HEATHER J,CENTER FOR HEARING AND COMMUNICATION
JULIE LUCAS,MCDANIEL COLLEGE
KENNETH R GILL,MCDANIEL COLLEGE
WILLIAM J WESTERVELT JR,MCDANIEL COLLEGE
DOLORES J SNYDER,MCDANIEL COLLEGE
DONNA HUNTLEY-NEWBY PHD RN,RHODE ISLAND QUALITY PARTNERS
CLAIRE M IACOBUCCI CPA,RHODE ISLAND QUALITY PARTNERS
STEPHEN ELLERIN THRU 6117,US COAST GUARD AUXILIARY ASSOCIATION
CYNTHIA HADDAD,SEPHARDIC COMMUNITY YOUTH CENTER INC
JENNY BURROWS,HOSPICE FOUNDATION OF CENTRAL NEW YORK
HELEN TSANOS SHEINMAN,CONCERT ARTISTS GUILD INC
LAURA DEGNON CAE,ASSOCIATION OF MEDICAL SCH PEDIATRIC
NATHANIEL SUTTON,AMERICAN SYMPHONY ORCHESTRA LEAGUE
SUZANNE TIMMERHANS,INTERAGENCY COUNCIL OF DEVELOPMENTAL
DAVID ROSATI,ANNA MARIA COLLEGE
PETER J DAWSON ESQ,ANNA MARIA COLLEGE
LEHANA THABANE,MCMASTER UNIVERSITY
MARICA MITCHELL,NATIONAL ASSOCIATION FOR THE EDUCATION
LORAINE CORTESE-COSTA,COORDINATED TRANSPORTATION SOLUTIONS INC
SARAH LIPSKY,HUDSON OPERA HOUSE
RICHARD SOMMER,GOVERNING COUNCIL OF THE UNIVERSITY OF
DANIEL S WOLGEMUTH,ROCHESTER YOUTH FOR CHRIST
LYNN M BREEN,ROCHESTER YOUTH FOR CHRIST
RACHEL CHAVKIN,THE THEATRE OF THE EMERGING AMERICAN
KAREN FRUSH,NATIONAL PATIENT SAFETY FOUNDATION
STEWART MANN,SOUTHWEST BROOKLYN INDUSTRIAL
ANDREW KIMBALL,SOUTHWEST BROOKLYN INDUSTRIAL
GREG MILLER,NATURE SERVE
DR MARVIN ROTMAN,YOUNG CONCERT ARTISTS INC
LUIS FRANCISO-MARTINEZ THRU 217,HIGHER EDUCATION USER GROUP
SANDY BABEY,EASTER SEALS NEW JERSEY
LAUREN DIXON,MONROE CC FOUNDATION
JAMES H GELLERT,YOUNG AUDIENCES INC
LEONARD SILVERMAN,EAST SIDE MIDDLE SCHOOL PARENT TEACHER
RAFI KNEPLER,HEBREW ACADEMY FOR SPECIAL CHILDREN INC
GEMMA GARCIA,UNITED COMMUNITY CENTERS INC
DOMINIC ESPOSITO,SOCIETY OF RESEARCH ADMINISTRATORS
MR RORY KELLEHER ESQ,CATHOLIC GUARDIAN SERVICES
MR THOMAS M SWEENEY,CATHOLIC GUARDIAN SERVICES
MARJORIE ALTSCHULER,MANHATTAN CLASS COMPANYINC
DAN W KIENER,ROBERT MORRIS UNIVERSITY
JOANNE R LAX,AMERICAN HEALTH LAWYERS ASSOCIATION
EILEEN HARTMANN,AMERICAN ASSOCIATION OF UNIVERSITY
ERIC JT CABALLERO,PEOPLES EQUAL ACTION AND COMMUNITY
EMILY ANTONELLI,NRF FOUNDATION
STEVE BARR,NRF FOUNDATION
MARK ALLEN,TEMPLE EMANUEL
DAVID GERMANO,CENTER FOR DISPUTE SETTLEMENT
RICHARD FITZGERALD,INDEPENDENT FIRE CO
ADRIANA JANSEN,ALPHA PHI SIGMA INC
DANIEL DRAKE,SULLIVAN TRAIL LEGAL AID SOCIETY INC
MICHAEL WANCEWICZ,MONTGOMERY COUNTY OFFICE FOR AGING INC
HECTOR P GARRIDO,BRISTOL HOME INC
DANIEL HERBERGER,BRISTOL VILLAGE INC
SANDRA MARCUSSEN,TWO HUNDRED SEVENTY TWO TO TWO HUNDRED
REV IVAN CROSSNO,TWO HUNDRED SEVENTY TWO TO TWO HUNDRED
NANCY CHANDO,FRIENDS OF HISTORIC KINGSTON
HOLLY BAKER,EAST CONCORD VOLUNTEER FIREDEPARTMENT
JIM PUTMAN,COLLEGE ASSOCIATION INC
NAOMI FRAENKEL ALTSCHUL,CIVITAS CITIZENS INC
JAMES L SPEYER,SHARE SELF-HELP FOR WOMEN WITH BREAST OR
RON REARDON,WINONA FOREST RECREATION ASSOCIATION INC
KATHY MANTARO,OSWEGO SCHOOL DISTRICT PUBLIC LIBRARY
ED RHYNE,CHRISTIAN LEARNING CENTER
ANDREW YACHT MD FACP,NEW YORK CHAPTER AMERICAN COLLEGE
DUDLEY BAILEY,NATIONAL JUNIOR COLLEGE REGION 3 CORP
THERESA M SANTMANN,FARMINGDALE CAMPAIGN 845
KANOE COCKETT,PUPIL TRANSPORTATION SAFETY INSTITUTE
JOHN MCLOUGHLIN,OLD MUSEUM VILLAGE OF SMITHS COVE
GILBERT DUKEN,PLATTSBURGH AIRBASE REDEVELOPMENT COR
DR CARLA F KIM,OHIO NORTHERN UNIVERSITY
LINDA C GRIFFIN,UTICA COLLEGE
GINA KILDAY,NATIONAL COUNCIL TEACHERS OF MATHEMATICS
VIDET CARMICHAEL,BOARD OF CONTROL FOR SOUTHERN REG ED
RICHARD MASSEY,THE ARMITAGE FOUNDATION
DR FRANKLIN CHAMBERS,THE ORGANIZATION OF ANCILLARY SERVICES
MICHAEL CHERNOV,GELSEY KIRKLAND ACADEMY OF CLASSICAL
GABRIELA BHARATLALL,GELSEY KIRKLAND ACADEMY OF CLASSICAL
TOBEY JOHNSON,MASSACHUSETTS LEGAL ASSISTANCE CORP
WILLIAM B ROGERS,THE TRUST FOR PUBLIC LAND
ROBB JONES,CHAUTAUQUA STRIDERS INCORPORATED
ANNMARIE BARBAGALLO,POMONOK HOME SERVICES INC
LINDA SCHAUER,CONCERNED WOMEN FOR AMERICA
NURIT BACHARACH,GAN MIRIAM
SCOTT FEUER,STATE UNIVERSITY OF NEW YORK AT
LEOLA RODGERS,UNITED WAY OF CENTRAL NEW YORK INC
ANNETTE PETERS,UNITED WAY OF CENTRAL NEW YORK INC 859
DAVID WALL,UNITED WAY OF CENTRAL NEW YORK INC 859
DEEPAK AJMANI,DAVE THOMAS FOUNDATION FOR ADOPTION
STEPHEN FERRANTI,LEARNING ALLY INC
JAY DILORENZO,PRESERVATION LEAGUE OF NEW YORK STATE
JOHN SARE,PRESERVATION LEAGUE OF NEW YORK STATE
LOIS GOBLET,SUNY COBLESKILL ALUMNI ASSN
KITTY RICE,SYRACUSE MODEL NEIGHBORHOOD CORPORATION
KELLY GAGGIN,SYRACUSE MODEL NEIGHBORHOOD CORPORATION
STACEY VANDENBURGH,LANDMARK SOCIETY OF WESTERN NY
DANA AMENDOLA,TIMES SQUARE MANAGEMENT ASSOCIATION INC
MORRIS LOSICE,MAIMONIDES HEBREW DAY SCHOOL
RUVAIN KUDAN,MAIMONIDES HEBREW DAY SCHOOL
JOHN INGRAVALLO,FEDERATION OF ITALIAN-AMERICAN
ALVIN PARK,BUCHANAN FIRE DEPT
FRANCES LYNCH,CLAYTON IMPROVEMENT ASSOCIATION LTD
LARRY LEATHERMAN,CENTRAL NEW YORK COMMUNITY FOUNDATION
JEFFERY W JOHNSON,COUNCIL FOR ADVANCEMENT AND SUPPORT OF
MR ALEX SHLOMM,LAWRENCE WOODMERE ACADEMY
MRS NAZ VAHID-AHDIEH,LAWRENCE WOODMERE ACADEMY
MARJORIE PARKER,NEW YORK ASSOCIATION OF TRAINING AND
STEVEN DELIGATTI,NEW YORK ASSOCIATION OF TRAINING AND
JOHN DOSCAS,DIABETES RESEARCH INSTITUTE FOUNDATION
GLENN KLEIMAN,DIABETES RESEARCH INSTITUTE FOUNDATION
TANYA SHALOR,CATSKILL SYMPHONY ORCHESTRA
FERNANDA NIVEN,EDIBLE SCHOOLYARD NEW YORK
PATRICIA SIMONSON,JEWISH COMM CTR OF GREATER BUFFALO
MAURICE L DUDNEY,FAITH BAPTIST BIBLE COLLEGE AND
STEVEN BOHN,FAITH BAPTIST BIBLE COLLEGE AND
GEORGE DUFFY,SCHOOL BUSINESS PARTNERSHIPS OF LI INC
KATHY AMERICO,HENDRICK HUDSON FREE LIBRARY
SYLVIA KINGSTON,CANTON COLLEGE FOUNDATION INC
LISA NEYMAN,GREENWOOD LAKE PUBLIC LIBRARY
MICHAEL S DOWNEY,NEW ENGLAND CENTER FOR CHILDREN
MARGARET BREIDA,ALLIANCE FOR ACADEMIC INTERNAL MEDICINE
LISA LEE,LITERACY WEST NY INC
STEPHAN F NEWHOUSE,AMERICAN BATTLEFIELD TRUST
DUKE R LIGON,AMERICAN BATTLEFIELD TRUST
DR KAJSA BRIMDYR,HEALTHY CHILDREN PROJECT
WILLEM LEENMAN,FAIR HAVEN VOLUNTEER RESCUE SQUAD
JOHN SANCHEZ,LEGACY COLLEGE PREPARATORY CHARTER
BISHOP PHILIP SAYNWRAYNE,SECOND CHANCE GOSPEL MUSIC CONVENTION
MICHAEL SCHNITTMAN,FOUNDATION OF THE MONROE COUNTY BAR
DR LISA WING,GENESEE COMMUNITY CHARTER SCHOOL AT THE
RICHARD L PLEPLER,COUNCIL ON FOREIGN RELATIONS INCORPORATE
ELIZABETH C ECONOMY,COUNCIL ON FOREIGN RELATIONS INCORPORATE
MATTHEW MCGARRITY,WESTERN NEW YORK EDUCATIONAL SERVICE
JOSEPH A KONSTAN,ASSOCIATION FOR COMPUTING MACHINERY INC
JAN BELL,ASSOCATION FOR CAREER AND TECHNICAL EDUC
DR RASHID HAQ,THE CRESCENT ACADEMY
ANNETTE PARKER,CAEL
EARL D WEINER,THEATRE DEVELOPMENT FUND INC
STACEY VANSLYKE,SKANEATELES EARLY CHILDHOOD CENTER INC
VINCENT MALTESE,RIDGEWOOD SENIORS COMMUNITY CORP
MICHAEL MANDARINO,EASTERN UNIVERSITY PALMER SEMINARY
WENDY SHISLER,CHARLTON SCHOOL
SARAH SCHERMERHORN,CHARLTON SCHOOL
LEIGH BRISCOE-DWYER,ALBANY COLLEGE OF PHARMACY
COLIN A SAMUEL,GREEN VALE SCHOOL
KERRIE MACPHERSON,CITY HARVEST INC
DINA REICH,PS 158 PARENT ASSOCIATION
FELIX ABREU,UNIVERSITY AUXILIARY SERVICES INC
CARLA VALENCIA,YORKVILLE COMMUNITY SCHOOL
MONALI FRATTERPEKAR,YORKVILLE COMMUNITY SCHOOL
JANICE CROSBY,HANCOCK COMMUNITY EDUCATION FOUNDATION
THOMAS PARKER,AGILE LEARNING CENTER
RICHARD BUCKINGHAM,NEW ENGLAND LAW LIBRARY CONSORTIUM
MATHEW ORMSBEE,COLLEGE COMMUNITY SERVICES INC
SHEILA E SCOTT CPA,COMMUNITY FOUNDATIONS OF THE HUDSON
CARY EVERT,HABITAT FOR HUMANITY INTERNATIONAL
BARBARA CAMACHO,NORTHERN MANHATTAN COALITION F OR
RUSSELL HAMMOND,EDUCATIONAL FOUNDATION OF ORANGE CO COMM
LARA JOHNSON,DIRECTION SERVICE
JUAN A SABATER,LENOX HILL NEIGHBORHOOD HOUSE INC
DR ERIKA ENDRIJONAS,INTELECOM
DON REDDICK,NATIONAL ASSOCIATION OF SCHOOLS OF MUSIC
DAVID BURAN,MORRISVILLE COLLEGE FOUNDATION SUNY
NICK WALLACE,LAW SCHOOL ADMISSION COUNCIL
SUSAN J KOHLMANN,ASSOCIATION OF THE BAR OF THE CITY OF
ALLEN RACINE,CLINTON COMM COLLEGE FNDTN
LISA DEMARTINO,MATERNAL-INFANT SVCES NETWORK OF ORANGE
LARRY LEV,THE SARASOTA FAMILY YMCA INC
BOB SCOTT,MID AMERICA BAPTIST THEOLOGICAL SEMINARY
RANDY REDD,MID AMERICA BAPTIST THEOLOGICAL SEMINARY
RAFAEL CORREA,SALISBURY UNIVERSITY FOUNDATION INC
LAURA BAKER,SALISBURY UNIVERSITY FOUNDATION INC
DARRYL ACKLEY,NATIONAL ASSOC OF STATE CHIEF INFO OFFIC
H WINSTON HOLT IV,COLLEGE OF THE ATLANTIC
RICHARD PINKOWSKI,HILBERT COLLEGE
DON GARDINER,NATIONAL CHURCH RESIDENCES FOUNDATION
GREGORY M MORRA,UNITED WAY OF GREATER UTICA 872
JOHN R RABEN,GREENWICH EMERGENCY MEDICAL SERVICES INC
ANDREA FRIEDMAN,UNIQUE PEOPLE SERVICES INC
ELIZABETH GAFFNEY,A PUBLIC SPACE LITERARY PROJEC TS INC
BELGICA CEDENO,COMMUNITY OPTIONS INC OF THE SOUTHERN
VIKRAM VERMA,FLORIDA INSTITUTE OF TECHNOLOGY INC
WILLIAM ARRASMITH,FLORIDA INSTITUTE OF TECHNOLOGY INC
CHRIS DOEBLIN,COLUMBUS AVENUE DISTRICT MGMT ASSOC
D VENTURINO,SWIM STRONG FOUNDATION INC
KATHLEEN ENRIGHT,DELAWARE VALLEY INDUSTRIAL RESOURCE CENT
LOGAN MEAD,COLUMBIA-GREENE COMMUNITY COLLEGE DAY
GINA MILSAP,LYRASIS
KEVIN SKELLY,NEW ENGLAND ADOLESCENT RESEARCH
LINDA SWEET,GREATER HUDSON HERITAGE NETWORK
BRAMBLE BURAN,HENRY JOHNSON CHARTER SCHOOL
MARC KUTNER,MIDWOOD DEVELOPMENT CORP
PATTI HARTLE,AMERICAN ALLIANCE FOR HEALTH PHYSICAL
NANCY LARSON SHAPIRO,TEACHERS & WRITERS COLLABORATIVE
EUGENE A DELLEA,HILLCREST EDUCATIONAL CENTERS INC
ROBERT SHWARTZ,THE CHURCHILL SCHOOL AND CENTER
DANA THOMAS MAGEE,STATEN ISLAND AID FOR RETARDED CHILDREN
CHRISTOPHER E VROOM,ART COUNCIL INC
KIRA BOWEN,THE AMERICAN PHYTOPATHOLOGICAL SOCIETY
SANJAI RAO MD,AMERICAN ASSOC OF DIRECTORS OF PSYCH
EDWARD L SHUGRUE III,STREETSQUASH INC
ERIC MULLER,STREETSQUASH INC
JUDY CHOI,DYNAMIC FORMS INC
TONY ALEXANDER,THE UNIVERSITY OF MEMPHIS RESEARCH
JOHN WITKOWSKI,NYBDC LOCAL DEVELOPMENT CORPORATION
RONALD L BRACKEN,GEORGIA TECH RESEARCH CORPORATION
KRISTEN JOHNSON LOMBARDI,INFINITY VISUAL & PERFORMING ARTS INC
ANDREASON BROWN,TASC INC
HERSCHEL GORNBEIN,LASALLE SCHOOL INC
PAUL HARRIS,REACH CNY INC
ROBERT SCHULTZ ESQ,VISUAL STUDIES WORKSHOP INC
DR MAGDY SHADY,OLD WESTBURY COLLEGE FOUNDATION INC
JASON RUHLMAN,NEW DIRECTIONS YOUTH & FAMILY SERVICES
JEAN CLOSE,ROCHESTER CITY BALLET INC
SYLVIA SEWELL-RAMSAYWAK,SERIOUS FUN AFTER SCHOOL INC
STEPHEN MALCOM,BIGELOW LABORATORY FOR OCEAN SCIENCES
MARY CLARK,MASSACHUSETTES ASSN OF TEACHERS OF
JOSEPH TOBIN CFP,MARY CARIOLA CHILDRENS CENTER INC
JACK TAYLOR,INNOCENCE PROJECT INC
JUDITH KRAMER,RIVERDALE SENIOR SERVICES
MARGIE SCHUSTACK,RIVERDALE SENIOR SERVICES
RICHARD OEHRLEIN,SOCIETY OF ST VINCENT DEPAUL DIOCESAN
ANNETTE CARRAR,NATIONAL DEVELOPMENT & RESEARCH
MELISSA JOHNSTON,COUNCIL OF CHIEF STATE SCHOOL OFFICERS
SIR TED HARRO,CHRISTIAN CAMPS INC
AMOREL SHEPPARD,BOYS & GIRLS HARBOR INC
ARNOLD LESSER VMD,AMERICAS VETDOGS K-9 CORPS
DEBORAH CRUTE,HEART OF THE CATSKILLS HUMANE SOCIETY
ANTHONY JAMES,BROADWAY-FILLMORE NEIGHBORHOOD HOUSING
PAUL MEISSNER MSPH,CITIWIDE HARM REDUCTION
ROBERT RATTET ESQ,CLAY ART CENTER INC
SHEREEN MARGOLIS,BRONX COUNCIL ON THE ARTS INC
DR ELIE FRIED,BNOS MALKA ACADEMY
KENAN KENT TURNACIOGLU,CENTER FOR INDEPENDENCE OF THE DISABLED
DR HOSEIN SHOKOUH-AMIRI,AMERICAN FOUNDATION FOR DONATION AND
RACHEL ISAKSEN,MARYLAND MEDIA INCORPORATED
WILLIAM MCGIRR,GREAT NECK ALERT FIRE COMPANY
FELICE HARRIS,CHILD CARE COUNCIL OF WESTCHESTER INC
LINDA A FULLER,LEGAL INFORMATION FOR FAMILIES TODAY
LENNY SILBERMAN,HENRY KAUFMANN CAMPGROUNDS INC
RICHARD ALVAREZ,STUDENT UNION SERVICES CORP QUEENS
MICHAEL LEAHY,METROPOOL INC
TIM ROBINSON,TRI-COUNTY UNITED WAY
RACHEL SAMILOW,PENATES INC
FRED LAMPERT,THE JEWISH COMMUNITY FEDERATION OF THE
FATIMA SHAMA,THE FRESH AIR FUND
PAM SCHROEDER,AUXILIARY SERVICES CORPORATION OF SUNY
LAWRENCE D SEYMOUR,THEODORE ROOSEVELT INAUGURAL SITE
VERNON CLARKE,AMERICAN LEGION JERSEY BOYS STATE
ELLEN KELSON,THE SHAKESPEARE SOCIETY
STYLIANI KAFKA,AMERICAN ASSOCIATION OF VARIABLE STAR
MS JEAN M TAYLOR,SCIENCE MUSEUM OF MINNESOTA
LISA CANIA,ST LAWRENCE UNIVERSITY
BARRY PHELPS,ST LAWRENCE UNIVERSITY
JASON L MATHEWS,APOLLO THEATER FOUNDATION INC
WILL PERRY,LONNIE HAMM
GREGORY MARKEL,JUNIOR ACHIEVEMENT OF NEW YORK INC
ARTHUR SMITH,BROOME CC FOUNDATION
BRIAN GWITT,UNITED WAY OF BUFFALO & ERIE COUNTY
GARY LAMAR,SHELBY VOLUNTEER FIRE CO INC
KENT G SMITH,LITTLE RED SCHOOL HOUSE INC
NANCY KOHLER,INTERSCHOLASTIC EQUESTRIAN ASSOCIATION
DR TIMOTHY MCALPINE,LINDSEY WILSON COLLEGE
JAMES FRANK,THE JOHN F FINN INSTITUTE FOR PUBLIC
SUE A PERKINS - THROUGH 1317,NEW TEACHER CENTER
STEPHEN DALLA BETTA,NEW TEACHER CENTER
CHERYL HICKMAN,UNLAWFUL NARCOTICS INVESTIGATIONS TREATM
JAY UNGAR,ASHOKAN CENTER INC
LISA FORKNER,GORDON COLLEGE
TIMOTHY O'CONNOR,THE ROCKEFELLER UNIVERSITY
JUDITH MOWER,PARKS & TRAILS NEW YORK
RABBI DAVID BERKMAN,JEWISH FAMILY SERVICE OF ROCKLAND COUNTY
RENEE J CHRISTIAN,BUFFALO PRENATAL-PERINATAL NET WORK INC
ATUL GROVER MD PHD,ASSOCIATION OF AMERICAN MEDICAL COLLEGES
STEVEN KNIGHT BS,JOINT REVIEW COMMITTEE ON EDUCATION IN D
PAUL KELLY,GALLAUDET UNIVERSITY
JERRY SMITH,NATIONAL JUNIOR COLLEGE ATHLETIC ASSOC
THOMAS J SIENKEWICZ,THE CLASSICAL ASSOCIATION OF THE MIDDLE
STEVEN G FELSHER,BROOKLYN ACADEMY OF MUSIC
VITTORIO SEVERINO,EARTHWATCH INSTITUTE
DENNIS M MULLEN,SAINT LEO UNIVERSITY
MARK JACKSON,COLONIAL ATHLETIC ASSOCIATION FOOTBALL
MARK FARRELL,UB ALUMNI ASSOC
LEEANN SCADUTO,HUDSON GUILD
DAWN LIPSON,GEVA THEATRE CENTER INC
CARNI APPLEGATE,HEALTH DELIVERY INC
PHILIP K ASHERMAN,NATIONAL SAFETY COUNCIL
ED HARRIS,INTERNATIONAL ARTS RELATIONS INC
ASLI OZDEMIR,VIOLENCE INTERVENTION PROGRAM INC
LOUIS NAPPI,HORIZONS INC
DENNIS GEHR,OPTOMETRIC CENTER OF NEW YORK STATE
RONALD SWAN II,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY
TIM TAKONA,THORNTON DONOVAN SCHOOL
ROIDERICK MCLANE,HEBREW KINDERGARTEN
HANNA ASSEFA,STUDENT ASSOCIATION
MRS GILLIAN MINITER,CENTRAL PARK CONSERVANCY INC
BELINDA PAGDANGANAN,SUFFOLK COMMUNITY COLLEGE FOUNDATION
MIKE RAKES,ORAL ROBERTS UNIVERSITY
MATTHEW D BASS,PUBLIC ART FUND INC
PIETER SMEENK,ERIE CANALWAY HERITAGE FUND INC
MANUELA ARNAL,SPANISH THEATRE REPERTORY CO
MARYANN MORAN,BROOKLYN COLLEGE CHILD CARE SERVICES INC
NANCY E PRINGLE NON-VOTING,ITHACA COLLEGE
VIDIA NEGREA,INTERNATIONAL INSTITUTE FOR RESTORATIVE
THERESA REBECK,LARK THEATRE COMPANY INC
THORA T EASTON,ARCADIA UNIVERSITY
JOYCELLEN YOUNG AURITT,ARCADIA UNIVERSITY
LUDMILLA MALMBERG,UNIVERSITY OF THE SCIENCES IN PHILADELPH
FORREST CLOSE,LIBERATION PROGRAMS INC
HAYLEY COLLINS,OPUS 118 MUSIC CENTER INC
SCOTT MONTY,AMERICAN MARKETING ASSOCIATION
CLARENCE A ROBERTSON,SOCIETY F T PRSVT OF WEEKSVILLE &
CHERRIE NANNINGA,SALVADORI CENTER LTD
SABRINA KANNER,SALVADORI CENTER LTD
JAMES T CONNORS,SALVADORI CENTER LTD
THAD SILVA FILHO,INTERNATIONAL TRUMPET GUILD
MSGR KEVIN SULLIVAN,CATHOLIC CHARITIES COMMUNITY SERVICES OF
TRINI ROSS,PARK SCHOOL OF BUFFALO
SUSANNE FRANCIS,PARK SCHOOL OF BUFFALO
CAROLINA MIKE,OKLAHOMA MEDICAL RESEARCH FOUNDATION
MARK REILLY,JUMPSTART FOR YOUNG CHILDREN
LINDA BETSTADT,SUSAN B ANTHONY HOUSE
L THOMAS WOLFF,HEALTHWORKFORCE NEW YORK
LORETTA MCCARTHY,ABINGDON THEATRE COMPANY
KYUNG-AH PARK,GIRLS INCORPORATED OF NEW YORK CITY
J CLARK RIBORDY,OTTAWA UNIVERSITY
JAMES BARON,CANISIUS COLLEGE OF BUFFALO
LENORA B FOOTE,CANISIUS COLLEGE OF BUFFALO
EINHORN SHELLEY,CENTER FOR HEARING AND COMMUNICATION
PAUL PERROTTO,SNELL FARM CHILDREN CENTER
MARIA CRISTALLI,HILLSIDE FAMILY OF AGENCIES
CAROLINE HAY,STUDENT ASSISTANCE SERVICES CORP
JANICE WARDLAW,GLEN COVE CHILD DAY CARE CENTER INC
THOMAS S MIDDLETON,NATURE CONSERVANCY THE
FRANCA ARMSTRONG,WORKFORCE DEVELOPMENT BOARD OF HERKIMER
JOHANNES AUBRECHT,AURORA WALDORF SCHOOL
TIFFANY C GUEYE,BELL FOUNDATION INC
JEANNE GREENBERG ROHATYN,PERFORMA INC
IRENE CAVANAUGH,INTERAGENCY COUNCIL OF DEVELOPMENTAL
JUDITH K LARTER,LAKE GEORGE LAND CONSERVANCY
SOCRATES CABA,HEALTH PEOPLE INC
KATHRYNE LYONS,MERCY CENTER INC
NILI LUO UNTIL MAY 2017,NATIONAL ASSOCIATION FOR THE EDUCATION
PETER KIERS,NEW YORK CITY CRIMINAL JUSTICE AGENCY
RICHARD ROGOVIN,EDISON WELDING INSTITUTE INC
ANDREA SASS-KORTSAK,UNIVERSITY OF TORONTO
MELINDA ROGERS,UNIVERSITY OF TORONTO
FREDERICK P SCHAFFER ESQ,DASNY CITY UNIVERSITY CONSTRUCTION FUND
A SCOTT ARNOLD,ROCHESTER YOUTH FOR CHRIST
ELAINE WINTER,SOCIETY OF THIRD STREET MUSIC SCHOOL
JOY BUNSON,ATLANTIC THEATER COMPANY
JAMES A BRINK MD,AMERICAN COLLEGE OF RADIOLOGY
EDWARD I BLUTH MD,AMERICAN COLLEGE OF RADIOLOGY
CHARLES C NGUYEN,THE CATHOLIC UNIVERSITY OF AMERICA INC
CARDINAL DANIEL N DINARDO,THE CATHOLIC UNIVERSITY OF AMERICA INC
PACITA TRIM,EAST HARLEM NEIGHBORHOOD BASED ALLIANCE
VANESSA PARK,POSTPARTUM SUPPORT INTERNATIONAL
STEVEN WALLERSTEIN,BNOT CHAYA ACADEMY
THOMAS ROBINSON,BETA GAMMA SIGMA INC
DIANE SHOGER,MONROE CC FOUNDATION
TONY GOLDWYN,SECOND STAGE THEATRE INC
RENA ROSEN,HEBREW INSTITUTE FOR THE DEAF &
ROSE DIOS,IMMIGRATION LEGAL SERVICES OF LONG
LOIS D BRYAN,ROBERT MORRIS UNIVERSITY
MICHELE R RADELL,AMERICAN HEALTH LAWYERS ASSOCIATION
FREDERICK P FLOYD,CLEVELAND MUSEUM OF NATURAL HISTORY
TONIA L THORNTON,PEOPLES EQUAL ACTION AND COMMUNITY
JAY THORN,TRI-VILLAGE FIRE COMPANY INC
STEPHEN LO,VALHALLA AMBULANCE CORPS INC
FRANK LIBERTI,CENTER FOR DISPUTE SETTLEMENT
ROBIN MCCOMBIE,MADISON COUNTY OFFICE FOR THEAGING INC
DAVID GRUSENMEYER,NEW YORK FARM VIABILITY INSTITUTE INC
ROBERTA SIMPSON,NORTH COUNTRY REMSCO
RONALD BERTRAM,ST LAWRENCE COUNTY FIRE TRAINING FACILIT
INAL TSHOVREBOV,COMMITTEE FOR CHILDREN
HAROLD BETTINGER,EAST CONCORD VOLUNTEER FIREDEPARTMENT
JORDAN SMALL,BROCKPORT STUDENT GOVERNMENT
CLAUDIA TRONCOSO STEINER,PARENT TEACHER ASSOCIATION OF P S 59 INC
ROBERT HORVATH,GARDEN CITY FIRE DEPARTMENT
ERIK BUNAES,CAPITAL REGION SPONSOR A SCHOLAR
BETH M CLARK,AGRICULTURAL STEWARDSHIP ASSOCIATION INC
ROBIN GITTINGS,COLLEGE ASSOCIATION INC
TOM HALL,WINONA FOREST RECREATION ASSOCIATION INC
TIM PARSONS,OPPORTUNITIES FOR OTSEGO INC
LISA SOVA,CNY ARTS INC
MITCH GOLDBERG,MOYERS CORNERS FIRE DEPARTMENT INC
TIFFANY DAILEY,LIVERPOOL WARRIORS MARCHING BAND
KELLY RAMSEY MD FACP,NEW YORK CHAPTER AMERICAN COLLEGE
MARC AUSLANDER,FRIENDS OF MUSIC CONCERTS INC
KARIS AHRENS,SUNY COBLESKILL AUXILIARY SERVICES INC
DENNIS FREDICKSON,NATIONAL BOWHUNTER EDUCATION FOUNDATION
CAMERON PUCCI,UNIVERSITY OF NORTH FLORIDA TRAINING &
BRENDA MERRILL,GOWANDAS HOLLYWOOD THEATER LTD
SHELBY DAVIES,STUDENT ASSOCIATION
DENISE GOMBER,TOMPKINS COMMUNITY ACTION INC
MARY ELLEN HOULE,TUSCARORA CHAPTER DAUGHTERS OF AMERICAN
PATRICIA GALLIA,TUSCARORA CHAPTER DAUGHTERS OF AMERICAN
DEBORA BROWN-JOHNSON,COUNCIL OF STATE ADMINISTRATORS OF
MELANIE BARTON,BOARD OF CONTROL FOR SOUTHERN REG ED
JAMES FLACKE,BETTER NEIGHBORHOOD INC
GARY C SMITH,NATIONAL ASSOCIATION FOR THE EXCHANGE OF
GREG KRAUZA,TEAM SERVICES INC
REGINA DAVIS MOSS PHD,AMERICAN PUBLIC HEALTH ASSOCIATION
SUSAN NASH,FAITH HERITAGE SCHOOL
TODD MOORE,NORTHEAST RECYCLING COUNCIL INC
JOAN KONARESKI,CELIA JOSEPH
ROSEMARY DEANGELIS,CELIA JOSEPH
KELLI KRIEGER,STATE UNIVERSITY OF NEW YORK AT
MARION ERVIN,UNITED WAY OF CENTRAL NEW YORK INC
PEGGY OGDEN,UNITED WAY OF CENTRAL NEW YORK INC
JACQUELINE GERCHMAN,SEPP INC
